ku_kod;ku_nazev;kraj_kod;kraj_nazev;okres_kod;okres_nazev;obec_kod;obec_nazev;platnost_od;platnost_do;prares_kod;prares_nazev
601527;Běchovice;19;Hlavní město Praha;;;554782;Praha;01.03.1994;;101;Katastrální úřad pro hlavní město Prahu, Katastrální pracoviště Praha
602582;Benice;19;Hlavní město Praha;;;554782;Praha;01.10.1991;;101;Katastrální úřad pro hlavní město Prahu, Katastrální pracoviště Praha
614131;Březiněves;19;Hlavní město Praha;;;554782;Praha;01.10.1991;;101;Katastrální úřad pro hlavní město Prahu, Katastrální pracoviště Praha
629952;Dolní Počernice;19;Hlavní město Praha;;;554782;Praha;01.10.1991;;101;Katastrální úřad pro hlavní město Prahu, Katastrální pracoviště Praha
633330;Dubeč;19;Hlavní město Praha;;;554782;Praha;01.10.1991;;101;Katastrální úřad pro hlavní město Prahu, Katastrální pracoviště Praha
643777;Horní Počernice;19;Hlavní město Praha;;;554782;Praha;01.10.1991;;101;Katastrální úřad pro hlavní město Prahu, Katastrální pracoviště Praha
652393;Cholupice;19;Hlavní město Praha;;;554782;Praha;01.10.1991;;101;Katastrální úřad pro hlavní město Prahu, Katastrální pracoviště Praha
652407;Točná;19;Hlavní město Praha;;;554782;Praha;01.10.1991;;101;Katastrální úřad pro hlavní město Prahu, Katastrální pracoviště Praha
665444;Klánovice;19;Hlavní město Praha;;;554782;Praha;01.10.1991;;101;Katastrální úřad pro hlavní město Prahu, Katastrální pracoviště Praha
668508;Koloděje;19;Hlavní město Praha;;;554782;Praha;01.10.1991;;101;Katastrální úřad pro hlavní město Prahu, Katastrální pracoviště Praha
668591;Kolovraty;19;Hlavní město Praha;;;554782;Praha;01.10.1991;;101;Katastrální úřad pro hlavní město Prahu, Katastrální pracoviště Praha
668605;Lipany;19;Hlavní město Praha;;;554782;Praha;01.10.1991;;101;Katastrální úřad pro hlavní město Prahu, Katastrální pracoviště Praha
672629;Královice;19;Hlavní město Praha;;;554782;Praha;01.10.1991;;101;Katastrální úřad pro hlavní město Prahu, Katastrální pracoviště Praha
676071;Křeslice;19;Hlavní město Praha;;;554782;Praha;01.10.1991;;101;Katastrální úřad pro hlavní město Prahu, Katastrální pracoviště Praha
